Latitude,Longitude,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
43.78,-79.47,1994-12-12,1994,12,12,,-7.2,,-19.5,,-13.4,,31.4,,0,,0,,0.2,,0.2,,15,,,,,
43.78,-79.47,1994-12-13,1994,12,13,,-4.6,,-12.6,,-8.6,,26.6,,0,,0,,0,,0,,14,,,,,
43.78,-79.47,1994-12-14,1994,12,14,,-4.4,,-9.3,,-6.9,,24.9,,0,,0,,0,,0,,13,,,,,
43.78,-79.47,1994-12-15,1994,12,15,,0.4,,-7.3,,-3.5,,21.5,,0,,0,,0,T,0,T,13,,,,,
43.78,-79.47,1994-12-16,1994,12,16,,4.4,,-2.2,,1.1,,16.9,,0,,5.3,,1.6,,6.9,,11,,,,,
43.78,-79.47,1994-12-17,1994,12,17,,4.5,,-0.2,,2.2,,15.8,,0,,0.4,,0,,0.4,,6,,,,,
43.78,-79.47,1994-12-18,1994,12,18,,4,,0.5,,2.3,,15.7,,0,,0,T,0.2,,0.2,,2,,,,,
43.78,-79.47,1994-12-19,1994,12,19,,2.3,,-0.6,,0.9,,17.1,,0,,0,,0,T,0,T,1,,,,,
43.78,-79.47,1994-12-20,1994,12,20,,5.3,,0,,2.7,,15.3,,0,,0,,0,,0,,0,T,,,,
43.78,-79.47,1994-12-21,1994,12,21,,9.9,,-2.6,,3.7,,14.3,,0,,0,,0,,0,,0,T,,,,
43.78,-79.47,1994-12-22,1994,12,22,,10.2,,-4.7,,2.8,,15.2,,0,,0,,0,,0,,0,,,,,
43.78,-79.47,1994-12-23,1994,12,23,,8,,-3.1,,2.5,,15.5,,0,,0,,0,,0,,0,,,,,
43.78,-79.47,1994-12-24,1994,12,24,,6.1,,-0.5,,2.8,,15.2,,0,,0,,0,,0,,0,,,,,
43.78,-79.47,1994-12-25,1994,12,25,,7.4,,-1,,3.2,,14.8,,0,,0,,0,,0,,0,,,,,
43.78,-79.47,1994-12-26,1994,12,26,,7.9,,-5.5,,1.2,,16.8,,0,,0,,0,,0,,0,,,,,
43.78,-79.47,1994-12-27,1994,12,27,,5.8,,-1.7,,2.1,,15.9,,0,,0,T,0,,0,T,0,,,,,
43.78,-79.47,1994-12-28,1994,12,28,,6.4,,0.2,,3.3,,14.7,,0,,0,T,0,,0,T,0,,,,,
43.78,-79.47,1994-12-29,1994,12,29,,-5,,-7.5,,-6.3,,24.3,,0,,0,,0,,0,,0,,,,,
43.78,-79.47,1994-12-30,1994,12,30,,-1.1,,-11.8,,-6.5,,24.5,,0,,0,,0,T,0,T,0,,,,,
43.78,-79.47,1994-12-31,1994,12,31,,2.2,,-6.8,,-2.3,,20.3,,0,,5.1,,2.2,,9.5,,0,,,,,
43.78,-79.47,1995-01-01,1995,1,1,,1.3,,-0.1,,0.6,,17.4,,0,,0,,0.8,,1.6,,2,,,,,
43.78,-79.47,1995-01-02,1995,1,2,,-1.8,,-6.7,,-4.3,,22.3,,0,,0,,1,,0.8,,1,,,,,
43.78,-79.47,1995-01-03,1995,1,3,,-3.6,,-7.9,,-5.8,,23.8,,0,,0,,0.6,,0.2,,2,,,,,
43.78,-79.47,1995-01-04,1995,1,4,,-8.9,,-12,,-10.5,,28.5,,0,,0,,0,T,0,T,2,,,,,
43.78,-79.47,1995-01-05,1995,1,5,,-4.7,,-12.7,,-8.7,,26.7,,0,,0,,0,,0,,1,,,,,
43.78,-79.47,1995-01-06,1995,1,6,,-1.9,,-8.8,,-5.4,,23.4,,0,,0,,9.2,,8.2,,1,,,,,
43.78,-79.47,1995-01-07,1995,1,7,,-3,,-7,,-5,,23,,0,,0,,0,T,0,T,10,,,,,
43.78,-79.47,1995-01-08,1995,1,8,,-4.2,,-16.3,,-10.3,,28.3,,0,,0,,0,T,0,T,10,,,,,
43.78,-79.47,1995-01-09,1995,1,9,,-5.4,,-9.5,,-7.5,,25.5,,0,,0,,0,T,0,T,9,,,,,
43.78,-79.47,1995-01-10,1995,1,10,,-10.4,,-13,,-11.7,,29.7,,0,,0,,1.8,,1.2,,7,,,,,
43.78,-79.47,1995-01-11,1995,1,11,,-0.6,,-14.5,,-7.6,,25.6,,0,,0.6,,0.4,,0.8,,9,,,,,
43.78,-79.47,1995-01-12,1995,1,12,,9.2,,-9.5,,-0.2,,18.2,,0,,5.2,,0,,5.2,,8,,,,,
43.78,-79.47,1995-01-13,1995,1,13,,10.9,,1.3,,6.1,,11.9,,0,,0,T,0,,0,T,1,,,,,
43.78,-79.47,1995-01-14,1995,1,14,,12,,0.8,,6.4,,11.6,,0,,25.5,,0,,25.5,,0,T,,,,
43.78,-79.47,1995-01-15,1995,1,15,,7.2,,3.2,,5.2,,12.8,,0,,32.2,,0,,32.2,,0,,,,,
43.78,-79.47,1995-01-16,1995,1,16,,1.1,,-0.5,,0.3,,17.7,,0,,1.2,,0,,1.2,,0,,,,,
43.78,-79.47,1995-01-17,1995,1,17,,2,,-2.9,,-0.5,,18.5,,0,,0,T,0,T,0,T,0,,,,,
43.78,-79.47,1995-01-18,1995,1,18,,2.6,,-1.4,,0.6,,17.4,,0,,0.2,,0,,0.2,,0,T,,,,
43.78,-79.47,1995-01-19,1995,1,19,,5.6,,1.5,,3.6,,14.4,,0,,7.2,,0,,7.2,,0,,,,,
43.78,-79.47,1995-01-20,1995,1,20,,5.7,,2.9,,4.3,,13.7,,0,,27,,0,,27,,0,,,,,
43.78,-79.47,1995-01-21,1995,1,21,,3.6,,1.4,,2.5,,15.5,,0,,3.8,,5,,10.2,,0,,,,,
43.78,-79.47,1995-01-22,1995,1,22,,-1.6,,-2.8,,-2.2,,20.2,,0,,0,,3.2,,4.7,,5,,,,,
43.78,-79.47,1995-01-23,1995,1,23,,-1,,-4,,-2.5,,20.5,,0,,0,,0,T,0,T,7,,,,,
43.78,-79.47,1995-01-24,1995,1,24,,0.4,,-3,,-1.3,,19.3,,0,,0,,0,T,0,T,5,,,,,
43.78,-79.47,1995-01-25,1995,1,25,,-0.2,,-2,,-1.1,,19.1,,0,,0,,1.4,,0.8,,3,,,,,
43.78,-79.47,1995-01-26,1995,1,26,,-1.4,,-3.7,,-2.6,,20.6,,0,,0,,0,T,0,T,4,,,,,
43.78,-79.47,1995-01-27,1995,1,27,,-1,,-8,,-4.5,,22.5,,0,,0,,0,T,0,T,4,,,,,
43.78,-79.47,1995-01-28,1995,1,28,,-7.5,,-16.5,,-12,,30,,0,,0,,0,,0,,4,,,,,
43.78,-79.47,1995-01-29,1995,1,29,,-2.7,,-13.9,,-8.3,,26.3,,0,,0,,0,,0,,4,,,,,
43.78,-79.47,1995-01-30,1995,1,30,,1.4,,-11.8,,-5.2,,23.2,,0,,0,,0,,0,,3,,,,,
43.78,-79.47,1995-01-31,1995,1,31,,1.5,,-4,,-1.3,,19.3,,0,,0,T,0,T,0,T,3,,,,,
43.78,-79.47,1995-02-01,1995,2,1,,2.5,,-2,,0.3,,17.7,,0,,0,,0.2,,0.2,,2,,,,,
43.78,-79.47,1995-02-02,1995,2,2,,-7.7,,-14,,-10.9,,28.9,,0,,0,,0,,0,,1,,,,,
43.78,-79.47,1995-02-03,1995,2,3,,-3.8,,-13.9,,-8.9,,26.9,,0,,0,,0,,0,,1,,,,,
43.78,-79.47,1995-02-04,1995,2,4,,-2.5,,-9.5,,-6,,24,,0,,0,,0,T,0,T,1,,,,,
43.78,-79.47,1995-02-05,1995,2,5,,-17.1,,-23,,-20.1,,38.1,,0,,0,,1.2,,0.5,,1,,,,,
43.78,-79.47,1995-02-06,1995,2,6,,-15.5,,-23.4,,-19.5,,37.5,,0,,0,,0,T,0,T,2,,,,,
43.78,-79.47,1995-02-07,1995,2,7,,-5.3,,-19.1,,-12.2,,30.2,,0,,0,,1.2,,0.8,,2,,,,,
43.78,-79.47,1995-02-08,1995,2,8,,-10.2,,-17.8,,-14,,32,,0,,0,,0,,0,,3,,,,,
43.78,-79.47,1995-02-09,1995,2,9,,-4.4,,-12.3,,-8.4,,26.4,,0,,0,,0.4,,0,T,3,,,,,
43.78,-79.47,1995-02-10,1995,2,10,,0.7,,-9.4,,-4.4,,22.4,,0,,0,,1,,1,,3,,,,,
43.78,-79.47,1995-02-11,1995,2,11,,-8.8,,-12.2,,-10.5,,28.5,,0,,0,,0,T,0,T,3,,,,,
43.78,-79.47,1995-02-12,1995,2,12,,-8.3,,-18.4,,-13.4,,31.4,,0,,0,,1,,0.6,,2,,,,,
43.78,-79.47,1995-02-13,1995,2,13,,-5.5,,-13.5,,-9.5,,27.5,,0,,0,,0.6,,0.4,,3,,,,,
43.78,-79.47,1995-02-14,1995,2,14,,-5.4,,-13.4,,-9.4,,27.4,,0,,0,,0,,0,,3,,,,,
43.78,-79.47,1995-02-15,1995,2,15,,4.3,,-16,,-5.9,,23.9,,0,,2.8,,0.2,,3,,3,,,,,
43.78,-79.47,1995-02-16,1995,2,16,,0.6,,-2,,-0.7,,18.7,,0,,0,,0,T,0,T,1,,,,,
43.78,-79.47,1995-02-17,1995,2,17,,2.7,,-9.3,,-3.3,,21.3,,0,,0,,0,,0,,0,T,,,,
43.78,-79.47,1995-02-18,1995,2,18,,6.7,,-4.5,,1.1,,16.9,,0,,0,,0,,0,,0,T,,,,
43.78,-79.47,1995-02-19,1995,2,19,,8.1,,-2.4,,2.9,,15.1,,0,,0,,0,,0,,0,T,,,,
43.78,-79.47,1995-02-20,1995,2,20,,1.6,,-4.2,,-1.3,,19.3,,0,,0,T,3.4,,2.8,,0,T,,,,
43.78,-79.47,1995-02-21,1995,2,21,,0.6,,-6.8,,-3.1,,21.1,,0,,0,,0.4,,0,T,3,,,,,
43.78,-79.47,1995-02-22,1995,2,22,,-3.7,,-13.8,,-8.8,,26.8,,0,,0,,0,,0,,1,,,,,
43.78,-79.47,1995-02-23,1995,2,23,,1.7,,-8.3,,-3.3,,21.3,,0,,0,,0,T,0,T,1,,,,,
43.78,-79.47,1995-02-24,1995,2,24,,-6.1,,-9.7,,-7.9,,25.9,,0,,0,,0,T,0,T,0,T,,,,
43.78,-79.47,1995-02-25,1995,2,25,,-6.2,,-10.3,,-8.3,,26.3,,0,,0,,1,,0.4,,0,T,,,,
43.78,-79.47,1995-02-26,1995,2,26,,-8.6,,-17.4,,-13,,31,,0,,0,,0.8,,1.3,,0,T,,,,
43.78,-79.47,1995-02-27,1995,2,27,,-1,,-11.8,,-6.4,,24.4,,0,,3.7,,2.6,,6.7,,1,,,,,
43.78,-79.47,1995-02-28,1995,2,28,,-1.1,,-5.6,,-3.4,,21.4,,0,,0,,0,,0,,3,,,,,
43.78,-79.47,1995-03-01,1995,3,1,,-0.1,,-8.6,,-4.4,,22.4,,0,,0,,0,T,0,T,2,,,,,
43.78,-79.47,1995-03-02,1995,3,2,,-4.6,,-11.7,,-8.2,,26.2,,0,,0,,0,,0,,2,,,,,
43.78,-79.47,1995-03-03,1995,3,3,,-1.4,,-14.4,,-7.9,,25.9,,0,,0,,0,,0,,1,,,,,
43.78,-79.47,1995-03-04,1995,3,4,,1.8,,-12.6,,-5.4,,23.4,,0,,0,,0,,0,,0,T,,,,
43.78,-79.47,1995-03-05,1995,3,5,,3.1,,-6.7,,-1.8,,19.8,,0,,8,,0.6,,8.7,,0,T,,,,
43.78,-79.47,1995-03-06,1995,3,6,,3.1,,-0.8,,1.2,,16.8,,0,,2.2,,0,,2.2,,0,T,,,,
43.78,-79.47,1995-03-07,1995,3,7,,13,,-3.7,,4.7,,13.3,,0,,23.2,,4,,27.2,,0,,,,,
43.78,-79.47,1995-03-08,1995,3,8,,-5.3,,-7.3,,-6.3,,24.3,,0,,0,,0,T,0,T,4,,,,,
43.78,-79.47,1995-03-09,1995,3,9,,-7,,-14.1,,-10.6,,28.6,,0,,0,,0,,0,,3,,,,,
43.78,-79.47,1995-03-10,1995,3,10,,-0.7,,-14.5,,-7.6,,25.6,,0,,0,,0,,0,,3,,,,,
43.78,-79.47,1995-03-11,1995,3,11,,7.6,,-7.8,,-0.1,,18.1,,0,,0,,0,,0,,2,,,,,
43.78,-79.47,1995-03-12,1995,3,12,,14.9,,-2.3,,6.3,,11.7,,0,,0,,0,,0,,0,T,,,,
43.78,-79.47,1995-03-13,1995,3,13,,20.2,,-1.7,,9.3,,8.7,,0,,0,,0,,0,,0,,,,,
43.78,-79.47,1995-03-14,1995,3,14,,21.4,,1.8,,11.6,,6.4,,0,,0,,0,,0,,0,,,,,
43.78,-79.47,1995-03-15,1995,3,15,,21.4,,3.3,,12.4,,5.6,,0,,0,T,0,,0,T,0,,,,,
43.78,-79.47,1995-03-16,1995,3,16,,17.2,,2.6,,9.9,,8.1,,0,,0.2,,0,,0.2,,0,,,,,
43.78,-79.47,1995-03-17,1995,3,17,,4.2,,-0.1,,2.1,,15.9,,0,,0,,0,T,0,T,0,,,,,
43.78,-79.47,1995-03-18,1995,3,18,,10,,-2.8,,3.6,,14.4,,0,,0,,0,,0,,0,,,,,
43.78,-79.47,1995-03-19,1995,3,19,,6,,-1.2,,2.4,,15.6,,0,,2.6,,0,T,2.6,,0,,,,,
43.78,-79.47,1995-03-20,1995,3,20,,14.2,,1.7,,8,,10,,0,,7.6,,0,,7.6,,0,,,,,
43.78,-79.47,1995-03-21,1995,3,21,,6.9,,5.1,,6,,12,,0,,1,,0,T,1,,0,,,,,
43.78,-79.47,1995-03-22,1995,3,22,,5.6,,1.3,,3.5,,14.5,,0,,0,T,0,,0,T,0,,,,,
43.78,-79.47,1995-03-23,1995,3,23,,8.4,,-0.3,,4.1,,13.9,,0,,0,,0,,0,,0,,,,,
43.78,-79.47,1995-03-24,1995,3,24,,5.7,,-1.7,,2,,16,,0,,0,,0,,0,,0,,,,,
43.78,-79.47,1995-03-25,1995,3,25,,9,,-2.1,,3.5,,14.5,,0,,0,,0,,0,,0,,,,,
43.78,-79.47,1995-03-26,1995,3,26,,11.7,,-0.4,,5.7,,12.3,,0,,0,,0,,0,,0,,,,,
43.78,-79.47,1995-03-27,1995,3,27,,8.2,,-3.2,,2.5,,15.5,,0,,0,,0,,0,,0,,,,,
43.78,-79.47,1995-03-28,1995,3,28,,10.5,,-1.3,,4.6,,13.4,,0,,0,,0,,0,,0,,,,,
43.78,-79.47,1995-03-29,1995,3,29,,10.6,,-4,,3.3,,14.7,,0,,0.2,,0,,0.2,,0,,,,,
43.78,-79.47,1995-03-30,1995,3,30,,6.6,,2.4,,4.5,,13.5,,0,,0,T,0,T,0,T,0,,,,,
43.78,-79.47,1995-03-31,1995,3,31,,5.5,,-0.5,,2.5,,15.5,,0,,0,,0,T,0,T,0,,,,,
43.78,-79.47,1995-04-01,1995,4,1,,5,,-8,,-1.5,,19.5,,0,,0,,0,,0,,0,,,,,
43.78,-79.47,1995-04-02,1995,4,2,,7.5,,-2.5,,2.5,,15.5,,0,,0,,0,,0,,0,,,,,
43.78,-79.47,1995-04-03,1995,4,3,,12,,-2.5,,4.8,,13.2,,0,,0.2,,1,,1.5,,0,,,,,
43.78,-79.47,1995-04-04,1995,4,4,,-0.5,,-6,,-3.3,,21.3,,0,,0,,0,T,0,T,0,,,,,
43.78,-79.47,1995-04-05,1995,4,5,,-0.5,,-9.5,,-5,,23,,0,,0,,0,T,0,T,0,,,,,
43.78,-79.47,1995-04-06,1995,4,6,,1,,-6.5,,-2.8,,20.8,,0,,0,T,3,,3.4,,0,,,,,
43.78,-79.47,1995-04-07,1995,4,7,,3.5,,-5,,-0.8,,18.8,,0,,0,T,0,T,0,T,1,,,,,
43.78,-79.47,1995-04-08,1995,4,8,,6,,-3,,1.5,,16.5,,0,,0,,0,,0,,0,,,,,
43.78,-79.47,1995-04-09,1995,4,9,,6,,1.5,,3.8,,14.2,,0,,0,,0,,0,,0,,,,,
43.78,-79.47,1995-04-10,1995,4,10,,5.5,,-4.5,,0.5,,17.5,,0,,0,,0,,0,,0,,,,,
43.78,-79.47,1995-04-11,1995,4,11,,11.5,,-1.5,,5,,13,,0,,0,T,0,,0,T,0,,,,,
43.78,-79.47,1995-04-12,1995,4,12,,12.5,,7.5,,10,,8,,0,,6.7,,0,,6.7,,0,,,,,
43.78,-79.47,1995-04-13,1995,4,13,,9,,3,,6,,12,,0,,0.3,,0,T,0.3,,0,,,,,
43.78,-79.47,1995-04-14,1995,4,14,,7,,1,,4,,14,,0,,0,,0,T,0,T,0,,,,,
43.78,-79.47,1995-04-15,1995,4,15,,8.5,,-2.5,,3,,15,,0,,0,,0,,0,,0,,,,,
43.78,-79.47,1995-04-16,1995,4,16,,12.5,,-1.5,,5.5,,12.5,,0,,0,,0,,0,,0,,,,,
43.78,-79.47,1995-04-17,1995,4,17,,9,,-2.5,,3.3,,14.7,,0,,0,,0,,0,,0,,,,,
43.78,-79.47,1995-04-18,1995,4,18,,11.5,,-1,,5.3,,12.7,,0,,10,,0,,10,,0,,,,,
43.78,-79.47,1995-04-19,1995,4,19,,14,,4.5,,9.3,,8.7,,0,,0.2,,0,,0.2,,0,,,,,
43.78,-79.47,1995-04-20,1995,4,20,,9,,2,,5.5,,12.5,,0,,0,T,0,,0,T,0,,,,,
43.78,-79.47,1995-04-21,1995,4,21,,16.5,,5,,10.8,,7.2,,0,,32.1,,0,,32.1,,0,,,,,
43.78,-79.47,1995-04-22,1995,4,22,,9,,4.5,,6.8,,11.2,,0,,0,T,0,,0,T,0,,,,,
43.78,-79.47,1995-04-23,1995,4,23,,9,,0.5,,4.8,,13.2,,0,,0,,0,,0,,0,,,,,
43.78,-79.47,1995-04-24,1995,4,24,,9.5,,-1.5,,4,,14,,0,,0,,0,,0,,0,,,,,
43.78,-79.47,1995-04-25,1995,4,25,,13.5,,-1,,6.3,,11.7,,0,,1.4,,0,T,1.4,,0,,,,,
43.78,-79.47,1995-04-26,1995,4,26,,8,,0.5,,4.3,,13.7,,0,,21.6,,0,,21.6,,0,,,,,
43.78,-79.47,1995-04-27,1995,4,27,,12,,4.5,,8.3,,9.7,,0,,2,,0,,2,,0,,,,,
43.78,-79.47,1995-04-28,1995,4,28,,9,,5.5,,7.3,,10.7,,0,,0,T,0,,0,T,0,,,,,
43.78,-79.47,1995-04-29,1995,4,29,,10.5,,3.5,,7,,11,,0,,0,,0,,0,,0,,,,,
43.78,-79.47,1995-04-30,1995,4,30,,12,,-0.5,,5.8,,12.2,,0,,0,,0,,0,,0,,,,,
43.78,-79.47,1995-05-01,1995,5,1,,15,,2,,8.5,,9.5,,0,,0,,0,,0,,0,,,,,
43.78,-79.47,1995-05-02,1995,5,2,,17,,4,,10.5,,7.5,,0,,0,,0,,0,,0,,,,,
43.78,-79.47,1995-05-03,1995,5,3,,18,,8.5,,13.3,,4.7,,0,,0,,0,,0,,0,,,,,
43.78,-79.47,1995-05-04,1995,5,4,,17.5,,0.5,,9,,9,,0,,0,,0,,0,,0,,,,,
43.78,-79.47,1995-05-05,1995,5,5,,20,,8,,14,,4,,0,,0,T,0,,0,T,0,,,,,
43.78,-79.47,1995-05-06,1995,5,6,,16.5,,6,,11.3,,6.7,,0,,0,,0,,0,,0,,,,,
43.78,-79.47,1995-05-07,1995,5,7,,16,,1.5,,8.8,,9.2,,0,,0,,0,,0,,0,,,,,
43.78,-79.47,1995-05-08,1995,5,8,,14.5,,1.5,,8,,10,,0,,0,,0,,0,,0,,,,,
43.78,-79.47,1995-05-09,1995,5,9,,14.5,,6,,10.3,,7.7,,0,,5,,0,,5,,0,,,,,
43.78,-79.47,1995-05-10,1995,5,10,,17,,7,,12,,6,,0,,16,,0,,16,,0,,,,,
43.78,-79.47,1995-05-11,1995,5,11,,16,,9.5,,12.8,,5.2,,0,,1.6,,0,,1.6,,0,,,,,
43.78,-79.47,1995-05-12,1995,5,12,,21.5,,10.5,,16,,2,,0,,0,,0,,0,,0,,,,,
43.78,-79.47,1995-05-13,1995,5,13,,19,,6.5,,12.8,,5.2,,0,,0,T,0,,0,T,0,,,,,
43.78,-79.47,1995-05-14,1995,5,14,,23,,11,,17,,1,,0,,2,,0,,2,,0,,,,,
43.78,-79.47,1995-05-15,1995,5,15,,20.5,,10,,15.3,,2.7,,0,,0,,0,,0,,0,,,,,
43.78,-79.47,1995-05-16,1995,5,16,,20,,8.5,,14.3,,3.7,,0,,7.6,,0,,7.6,,0,,,,,
43.78,-79.47,1995-05-17,1995,5,17,,18.5,,9.5,,14,,4,,0,,12,,0,,12,,0,,,,,
43.78,-79.47,1995-05-18,1995,5,18,,16.5,,5.5,,11,,7,,0,,0,,0,,0,,0,,,,,
43.78,-79.47,1995-05-19,1995,5,19,,20,,6.5,,13.3,,4.7,,0,,0,,0,,0,,0,,,,,
43.78,-79.47,1995-05-20,1995,5,20,,19.5,,4.5,,12,,6,,0,,5.5,,0,,5.5,,0,,,,,
43.78,-79.47,1995-05-21,1995,5,21,,20,,7,,13.5,,4.5,,0,,0,,0,,0,,0,,,,,
43.78,-79.47,1995-05-22,1995,5,22,,19.5,,7,,13.3,,4.7,,0,,0,,0,,0,,0,,,,,
43.78,-79.47,1995-05-23,1995,5,23,,23,,5,,14,,4,,0,,0,T,0,,0,T,0,,,,,
43.78,-79.47,1995-05-24,1995,5,24,,14,,11.5,,12.8,,5.2,,0,,4,,0,,4,,0,,,,,
43.78,-79.47,1995-05-25,1995,5,25,,17.5,,10.5,,14,,4,,0,,0,,0,,0,,0,,,,,
43.78,-79.47,1995-05-26,1995,5,26,,22.5,,6.5,,14.5,,3.5,,0,,0,,0,,0,,0,,,,,
43.78,-79.47,1995-05-27,1995,5,27,,19,,7.5,,13.3,,4.7,,0,,0,T,0,,0,T,0,,,,,
