"","Geohash","year","month","Count.Date","X8.Peak.Hr.Vehicle.Volume","X8.Peak.Hr.Pedestrian.Volume","sum_acc_count","temp_chg","snow","rain","SeverityScore","IncidentsTotal","AvgAcceleration","PercentOfVehicles","AvgMonthlyVolume","PercentCar","PercentMPV","PercentLDT","PercentMDT","PercentHDT","PercentOther","lat","lng","lat_error","lng_error"
"15","dpz80rs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3028,0.0152,5715,0.0291,0.1842,0.2166,0.0561,0.0776,0.4364,43.6356353759766,-79.4359588623047,0.0006866455078125,0.0006866455078125
"16","dpz80rt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7218,0.2505,495,0.0182,0.1862,0.3401,0.0324,0.0931,0.33,43.6356353759766,-79.4345855712891,0.0006866455078125,0.0006866455078125
"17","dpz80ru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4839,0.0175,57,0.0175,0.1053,0.2456,0.0351,0.1228,0.4737,43.6370086669922,-79.4359588623047,0.0006866455078125,0.0006866455078125
"18","dpz80rv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7619,0.2009,423,0.0166,0.1825,0.3294,0.0332,0.1043,0.334,43.6370086669922,-79.4345855712891,0.0006866455078125,0.0006866455078125
"19","dpz80rw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2766,0.0313,128,0.0078,0.2266,0.3594,0.0078,0.0781,0.3203,43.6356353759766,-79.4332122802734,0.0006866455078125,0.0006866455078125
"20","dpz80rx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.018,0.2143,14,0,0.0769,0.1538,0,0,0.7693,43.6356353759766,-79.4318389892578,0.0006866455078125,0.0006866455078125
"21","dpz80ry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.09,0.1857,1201,0.0301,0.1814,0.2358,0.056,0.0477,0.449,43.6370086669922,-79.4332122802734,0.0006866455078125,0.0006866455078125
"22","dpz80rz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0657,0.1258,302,0.0168,0.165,0.2593,0.0269,0.0606,0.4714,43.6370086669922,-79.4318389892578,0.0006866455078125,0.0006866455078125
"23","dpz80wb",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.031,13,0.9161,0.0068,586,0.031,0.2276,0.2759,0.0655,0.1069,0.2931,43.6315155029297,-79.4304656982422,0.0006866455078125,0.0006866455078125
"24","dpz80wc",2017,"09",2018-01-24,27594,20,2,14.8,0,7.7,NA,NA,1.1636,0.0769,13,0,0.0769,0.1538,0.0769,0.3077,0.3847,43.6315155029297,-79.4290924072266,0.0006866455078125,0.0006866455078125
"25","dpz80wf",NA,NA,2011-05-03,5836,25,NA,NA,NA,NA,0.0972,32,1.0626,0.0711,4315,0.0298,0.1993,0.1958,0.0626,0.1515,0.361,43.6315155029297,-79.4277191162109,0.0006866455078125,0.0006866455078125
"26","dpz80wg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1552,0.0855,2526,0.0195,0.2036,0.1594,0.0625,0.1526,0.4024,43.6315155029297,-79.4263458251953,0.0006866455078125,0.0006866455078125
"27","dpz80wu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4124,0.2091,220,0.0829,0.235,0.0599,0.1152,0.0737,0.4333,43.6315155029297,-79.4249725341797,0.0006866455078125,0.0006866455078125
"28","dpz80wv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2434,0.0968,31,0,0.2903,0,0.0323,0.0645,0.6129,43.6315155029297,-79.4235992431641,0.0006866455078125,0.0006866455078125
"29","dpz80wy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8008,0.0345,29,0,0.2069,0.0345,0.0345,0.069,0.6551,43.6315155029297,-79.4222259521484,0.0006866455078125,0.0006866455078125
"30","dpz80x0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6243,0.05,20,0.05,0.1,0.15,0,0.25,0.45,43.6328887939453,-79.4304656982422,0.0006866455078125,0.0006866455078125
"31","dpz80x1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9083,0.0275,36248,0.0347,0.157,0.2391,0.085,0.1704,0.3138,43.6328887939453,-79.4290924072266,0.0006866455078125,0.0006866455078125
"32","dpz80x2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7097,0.2318,302,0.0432,0.2126,0.3056,0.0399,0.0465,0.3522,43.6342620849609,-79.4304656982422,0.0006866455078125,0.0006866455078125
"33","dpz80x3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4211,0.125,16,0,0.1875,0.1875,0,0.125,0.5,43.6342620849609,-79.4290924072266,0.0006866455078125,0.0006866455078125
"34","dpz80x4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3525,0.0061,34944,0.0319,0.1657,0.2184,0.0839,0.1691,0.331,43.6328887939453,-79.4277191162109,0.0006866455078125,0.0006866455078125
"35","dpz80x5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5154,0.1429,21,0,0.3333,0.0952,0.0476,0.381,0.1429,43.6328887939453,-79.4263458251953,0.0006866455078125,0.0006866455078125
"36","dpz80x6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3671,0.1429,42,0.0714,0.1667,0.0952,0.0476,0.0714,0.5477,43.6342620849609,-79.4277191162109,0.0006866455078125,0.0006866455078125
"37","dpz80x7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9477,0.0732,41,0,0.122,0.3171,0,0.2439,0.317,43.6342620849609,-79.4263458251953,0.0006866455078125,0.0006866455078125
"38","dpz80x8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4035,0.0476,21,0,0.0952,0.0476,0,0.2857,0.5715,43.6356353759766,-79.4304656982422,0.0006866455078125,0.0006866455078125
"39","dpz80x9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0382,0.25,16,0,0.1875,0.375,0,0,0.4375,43.6356353759766,-79.4290924072266,0.0006866455078125,0.0006866455078125
"40","dpz80xb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.892,0.3263,475,0.0042,0.1564,0.2241,0.0169,0.0423,0.5561,43.6370086669922,-79.4304656982422,0.0006866455078125,0.0006866455078125
"41","dpz80xc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6325,0.1334,697,0.0101,0.2141,0.2083,0.0216,0.0417,0.5042,43.6370086669922,-79.4290924072266,0.0006866455078125,0.0006866455078125
"42","dpz80xd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0407,0.2021,574,0.021,0.2238,0.2465,0.0227,0.0629,0.4231,43.6356353759766,-79.4277191162109,0.0006866455078125,0.0006866455078125
"43","dpz80xe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6601,0.1116,7501,0.0282,0.2,0.1856,0.0571,0.1196,0.4095,43.6356353759766,-79.4263458251953,0.0006866455078125,0.0006866455078125
"44","dpz80xf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4672,0.1688,154,0.0131,0.1307,0.2418,0.0261,0.0392,0.5491,43.6370086669922,-79.4277191162109,0.0006866455078125,0.0006866455078125
"45","dpz80xg",NA,NA,2016-04-25,6472,388,NA,NA,NA,NA,NA,NA,0.5522,0.1017,118,0.0085,0.2393,0.2137,0.1197,0.0769,0.3419,43.6370086669922,-79.4263458251953,0.0006866455078125,0.0006866455078125
"46","dpz80xh",NA,NA,2015-11-12,6794,142,NA,NA,NA,NA,NA,NA,0.5262,0.1111,54,0,0.2407,0.2222,0.0741,0.0741,0.3889,43.6328887939453,-79.4249725341797,0.0006866455078125,0.0006866455078125
"47","dpz80xj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7364,0.0233,43,0.0488,0.2683,0.122,0.0488,0.0732,0.4389,43.6328887939453,-79.4235992431641,0.0006866455078125,0.0006866455078125
"48","dpz80xk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2009,0.0961,5068,0.0264,0.1963,0.1822,0.0572,0.1414,0.3965,43.6342620849609,-79.4249725341797,0.0006866455078125,0.0006866455078125
"49","dpz80xm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7892,0.0028,31806,0.0308,0.1638,0.2123,0.0859,0.1742,0.333,43.6342620849609,-79.4235992431641,0.0006866455078125,0.0006866455078125
"50","dpz80xn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7289,0.3158,19,0,0.3333,0.3889,0.0556,0.1667,0.0555,43.6328887939453,-79.4222259521484,0.0006866455078125,0.0006866455078125
"51","dpz80xp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4967,0.0161,372,0.0436,0.2207,0.0899,0.0599,0.1063,0.4796,43.6328887939453,-79.4208526611328,0.0006866455078125,0.0006866455078125
"52","dpz80xq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7477,0.0058,38171,0.0351,0.1607,0.2416,0.0803,0.1657,0.3166,43.6342620849609,-79.4222259521484,0.0006866455078125,0.0006866455078125
"53","dpz80xr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8403,0.0233,43,0.0465,0.3488,0.1163,0.093,0.0465,0.3489,43.6342620849609,-79.4208526611328,0.0006866455078125,0.0006866455078125
"54","dpz80xs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4176,0.2,15,0.0667,0,0.2667,0,0.4,0.2666,43.6356353759766,-79.4249725341797,0.0006866455078125,0.0006866455078125
"55","dpz80xt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6167,0.2712,59,0,0.0678,0.2373,0.1356,0.0508,0.5085,43.6356353759766,-79.4235992431641,0.0006866455078125,0.0006866455078125
"56","dpz80xu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.425,0.1415,2862,0.0232,0.223,0.216,0.066,0.079,0.3928,43.6370086669922,-79.4249725341797,0.0006866455078125,0.0006866455078125
"57","dpz80xv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6147,0.1333,15,0,0.2143,0.2143,0.0714,0,0.5,43.6370086669922,-79.4235992431641,0.0006866455078125,0.0006866455078125
"58","dpz80xw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3636,0.1364,22,0.0455,0.0455,0.3182,0.0455,0.0455,0.4998,43.6356353759766,-79.4222259521484,0.0006866455078125,0.0006866455078125
"59","dpz80xx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1224,0.0041,18604,0.0304,0.1486,0.2192,0.0869,0.1793,0.3356,43.6356353759766,-79.4208526611328,0.0006866455078125,0.0006866455078125
"60","dpz80xy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.833,0.1364,44,0.0227,0.3636,0.1364,0.0227,0.25,0.2046,43.6370086669922,-79.4222259521484,0.0006866455078125,0.0006866455078125
"61","dpz80xz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8378,0.3075,452,0.0022,0.2124,0.3429,0.0929,0.0708,0.2788,43.6370086669922,-79.4208526611328,0.0006866455078125,0.0006866455078125
"62","dpz80yb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4482,0.12,1100,0.0458,0.1962,0.1778,0.0724,0.1146,0.3932,43.6315155029297,-79.4194793701172,0.0006866455078125,0.0006866455078125
"63","dpz80yc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.138,0.2308,13,0.1538,0.1538,0.5385,0.0769,0,0.077,43.6315155029297,-79.4181060791016,0.0006866455078125,0.0006866455078125
"64","dpz80yf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,10,0.1,0.2,0,0.1,0.2,0.4,43.6315155029297,-79.4167327880859,0.0006866455078125,0.0006866455078125
"65","dpz80yg",NA,NA,2009-12-07,21367,121,NA,NA,NA,NA,NA,NA,1.4592,0.1111,45,0.1136,0.1818,0.2045,0.0455,0.1136,0.341,43.6315155029297,-79.4153594970703,0.0006866455078125,0.0006866455078125
"66","dpz80yu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.384,0.0035,565,0.0461,0.1879,0.2181,0.0532,0.1206,0.3741,43.6315155029297,-79.4139862060547,0.0006866455078125,0.0006866455078125
"67","dpz80yv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6245,0.0033,9314,0.0388,0.1606,0.2612,0.0691,0.1249,0.3454,43.6315155029297,-79.4126129150391,0.0006866455078125,0.0006866455078125
"68","dpz80yy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1609,0.0897,78,0.039,0.1299,0.2338,0.026,0.2338,0.3375,43.6315155029297,-79.4112396240234,0.0006866455078125,0.0006866455078125
"69","dpz80yz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.688,0.0652,184,0.0333,0.2944,0.1167,0.0222,0.0889,0.4445,43.6315155029297,-79.4098663330078,0.0006866455078125,0.0006866455078125
"70","dpz80z0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8728,0.1628,43,0.0465,0.186,0.1628,0.0465,0.2093,0.3489,43.6328887939453,-79.4194793701172,0.0006866455078125,0.0006866455078125
"71","dpz80z1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4336,0.0028,1073,0.0441,0.1897,0.1756,0.0714,0.1155,0.4037,43.6328887939453,-79.4181060791016,0.0006866455078125,0.0006866455078125
"72","dpz80z2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7616,0.1176,34,0.0882,0.1765,0.1765,0.0294,0.2059,0.3235,43.6342620849609,-79.4194793701172,0.0006866455078125,0.0006866455078125
"73","dpz80z3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4019,0.3223,301,0.0167,0.1906,0.2776,0.0502,0.1003,0.3646,43.6342620849609,-79.4181060791016,0.0006866455078125,0.0006866455078125
"74","dpz80z4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2323,0.1429,14,0,0,0.0833,0,0.5833,0.3334,43.6328887939453,-79.4167327880859,0.0006866455078125,0.0006866455078125
"75","dpz80z5",NA,NA,2008-10-14,1485,33,NA,NA,NA,NA,NA,NA,1.3655,0.25,16,0,0.3125,0.1875,0,0.0625,0.4375,43.6328887939453,-79.4153594970703,0.0006866455078125,0.0006866455078125
"76","dpz80z6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6803,0.2432,37,0,0.1714,0.5714,0,0.2286,0.0286,43.6342620849609,-79.4167327880859,0.0006866455078125,0.0006866455078125
"77","dpz80z7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.599,0.2182,55,0.0185,0.1667,0.5,0.0741,0.1296,0.1111,43.6342620849609,-79.4153594970703,0.0006866455078125,0.0006866455078125
"78","dpz80z8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.237,0.0079,46211,0.0344,0.1751,0.241,0.0785,0.1562,0.3148,43.6356353759766,-79.4194793701172,0.0006866455078125,0.0006866455078125
"79","dpz80z9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7913,0.0833,12,0,0.0833,0.25,0.0833,0.1667,0.4167,43.6356353759766,-79.4181060791016,0.0006866455078125,0.0006866455078125
"80","dpz80zb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8443,0.2782,133,0.0303,0.1136,0.4015,0.0606,0.0303,0.3637,43.6370086669922,-79.4194793701172,0.0006866455078125,0.0006866455078125
"81","dpz80zc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3067,0.1875,16,0.1875,0,0.5625,0,0,0.25,43.6370086669922,-79.4181060791016,0.0006866455078125,0.0006866455078125
"82","dpz80zd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8785,0.0042,45191,0.0376,0.1689,0.2542,0.0776,0.1562,0.3055,43.6356353759766,-79.4167327880859,0.0006866455078125,0.0006866455078125
"83","dpz80ze",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5884,0.1818,11,0,0,0.2727,0.2727,0.0909,0.3637,43.6356353759766,-79.4153594970703,0.0006866455078125,0.0006866455078125
"84","dpz80zf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8507,0.1579,19,0.1579,0.1053,0.5263,0.0526,0,0.1579,43.6370086669922,-79.4167327880859,0.0006866455078125,0.0006866455078125
"85","dpz80zg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1416,0.1429,14,0.2143,0.0714,0.5714,0,0,0.1429,43.6370086669922,-79.4153594970703,0.0006866455078125,0.0006866455078125
"86","dpz80zh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2974,0.0174,805,0.0401,0.1892,0.1404,0.0739,0.1353,0.4211,43.6328887939453,-79.4139862060547,0.0006866455078125,0.0006866455078125
"87","dpz80zj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3642,0.1875,64,0.125,0.2813,0.0781,0.2656,0,0.25,43.6328887939453,-79.4126129150391,0.0006866455078125,0.0006866455078125
"88","dpz80zk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2845,0.007,426,0.0212,0.1792,0.158,0.0448,0.0849,0.5119,43.6342620849609,-79.4139862060547,0.0006866455078125,0.0006866455078125
"89","dpz80zm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3504,0.0246,610,0.0347,0.2046,0.1419,0.0743,0.1056,0.4389,43.6342620849609,-79.4126129150391,0.0006866455078125,0.0006866455078125
"90","dpz80zn",2007,"02",2010-12-14,22009,120,4,16,20,5.6,NA,NA,0.6772,0.2581,1228,0.0316,0.1646,0.1189,0.0648,0.1413,0.4788,43.6328887939453,-79.4112396240234,0.0006866455078125,0.0006866455078125
"91","dpz80zn",2010,"05",2010-12-14,22009,120,3,NA,0,5.6,NA,NA,0.6772,0.2581,1228,0.0316,0.1646,0.1189,0.0648,0.1413,0.4788,43.6328887939453,-79.4112396240234,0.0006866455078125,0.0006866455078125
"92","dpz80zp",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0109,4,0.729,0.04,25,0,0.08,0.16,0.04,0.32,0.4,43.6328887939453,-79.4098663330078,0.0006866455078125,0.0006866455078125
"93","dpz80zq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3231,0.1463,41,0.0488,0.1707,0.0976,0.0488,0.0976,0.5365,43.6342620849609,-79.4112396240234,0.0006866455078125,0.0006866455078125
"94","dpz80zr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4367,0.3126,1043,0.0271,0.2161,0.1628,0.0349,0.1143,0.4448,43.6342620849609,-79.4098663330078,0.0006866455078125,0.0006866455078125
"95","dpz80zs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5185,0.0256,39,0,0.1795,0.359,0.0769,0.1538,0.2308,43.6356353759766,-79.4139862060547,0.0006866455078125,0.0006866455078125
"96","dpz80zt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6614,0.075,40,0,0.175,0.2,0,0.525,0.1,43.6356353759766,-79.4126129150391,0.0006866455078125,0.0006866455078125
"97","dpz80zu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4524,0.0625,16,0.1875,0.125,0.1875,0.0625,0.1875,0.25,43.6370086669922,-79.4139862060547,0.0006866455078125,0.0006866455078125
"98","dpz80zv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.064,0.1538,13,0.0769,0.2308,0.3077,0,0.1538,0.2308,43.6370086669922,-79.4126129150391,0.0006866455078125,0.0006866455078125
"99","dpz80zw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.573,0.0468,299,0.0101,0.2349,0.2282,0.0671,0.1711,0.2886,43.6356353759766,-79.4112396240234,0.0006866455078125,0.0006866455078125
"100","dpz80zx",2007,"02",2018-01-24,11246,265,4,16,20,5.6,NA,NA,1.1242,0.0935,9133,0.0383,0.1955,0.2104,0.0554,0.1139,0.3865,43.6356353759766,-79.4098663330078,0.0006866455078125,0.0006866455078125
"101","dpz80zy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0319,0.0085,62144,0.0375,0.1715,0.2554,0.0773,0.1575,0.3008,43.6370086669922,-79.4112396240234,0.0006866455078125,0.0006866455078125
"102","dpz80zz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8306,0.0057,48297,0.0384,0.1695,0.2582,0.0774,0.156,0.3005,43.6370086669922,-79.4098663330078,0.0006866455078125,0.0006866455078125
"103","dpz81nv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.462,0.1579,19,0,0.1579,0.4737,0,0.2105,0.1579,43.6315155029297,-79.4016265869141,0.0006866455078125,0.0006866455078125
"104","dpz81ny",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4271,0.0938,32,0,0.1563,0.3438,0.1875,0.125,0.1874,43.6315155029297,-79.4002532958984,0.0006866455078125,0.0006866455078125
"105","dpz81nz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1275,0.0667,195,0.0513,0.241,0.2,0.0513,0.3795,0.0769,43.6315155029297,-79.3988800048828,0.0006866455078125,0.0006866455078125
"106","dpz81p0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2169,0.0068,439,0.0437,0.1931,0.2529,0.0805,0.1379,0.2919,43.6328887939453,-79.4084930419922,0.0006866455078125,0.0006866455078125
"107","dpz81p2",2007,"08",2018-01-24,25571,163,7,14,0,10.9,NA,NA,0.536,0.0667,15,0.0667,0.2,0,0.1333,0.3333,0.2667,43.6342620849609,-79.4084930419922,0.0006866455078125,0.0006866455078125
"108","dpz81p2",2013,"06",2018-01-24,25571,163,4,12.7,0,26.7,NA,NA,0.536,0.0667,15,0.0667,0.2,0,0.1333,0.3333,0.2667,43.6342620849609,-79.4084930419922,0.0006866455078125,0.0006866455078125
"109","dpz81p2",2015,"07",2018-01-24,25571,163,3,13.4,0,10.6,NA,NA,0.536,0.0667,15,0.0667,0.2,0,0.1333,0.3333,0.2667,43.6342620849609,-79.4084930419922,0.0006866455078125,0.0006866455078125
"110","dpz81p2",2015,"10",2018-01-24,25571,163,3,15.6,0,58.3,NA,NA,0.536,0.0667,15,0.0667,0.2,0,0.1333,0.3333,0.2667,43.6342620849609,-79.4084930419922,0.0006866455078125,0.0006866455078125
"111","dpz81p3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4217,0.0217,92,0.0549,0.2418,0.4505,0.033,0,0.2198,43.6342620849609,-79.4071197509766,0.0006866455078125,0.0006866455078125
"112","dpz81p6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3515,0.0118,85,0.0595,0.25,0.4524,0.0238,0,0.2143,43.6342620849609,-79.4057464599609,0.0006866455078125,0.0006866455078125
"113","dpz81p7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5917,0.013,77,0.0526,0.25,0.4605,0.0263,0,0.2106,43.6342620849609,-79.4043731689453,0.0006866455078125,0.0006866455078125
"114","dpz81p8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.984,0.0714,14,0.0714,0,0.1429,0.0714,0.2857,0.4286,43.6356353759766,-79.4084930419922,0.0006866455078125,0.0006866455078125
"115","dpz81p9",NA,NA,2011-11-03,25651,56,NA,NA,NA,NA,NA,NA,1.6411,0.0833,12,0,0.1667,0.1667,0.0833,0.3333,0.25,43.6356353759766,-79.4071197509766,0.0006866455078125,0.0006866455078125
