Geohash,Latitude_SW,Longitude_SW,Latitude_NE,Longitude_NE,Latitude,Longitude,City,County,State,Country,ISO_3166_2,AvgAcceleration,PercentOfVehicles,AvgMonthlyVolume,PercentCar,PercentMPV,PercentLDT,PercentMDT,PercentHDT,PercentOther,UpdateDate,Version
dpz91ppw,43.80901,-79.39888,43.80919,-79.39854,43.8091,-79.3988,Markham,,Ontario,Canada,CA-ON,0.4579,0.0298,4092,0.0302,0.1857,0.34,0.0781,0.1381,0.2279,2019-01-04,2.0
dpz93kjt,43.83631,-79.39064,43.83648,-79.3903,43.83642,-79.39052,Markham,,Ontario,Canada,CA-ON,0.8777,0.0025,809,0.0273,0.1227,0.3098,0.0545,0.3061,0.1796,2019-01-04,2.0
dpz96knm,43.83631,-79.34566,43.83648,-79.34532,43.83634,-79.34536,Markham,,Ontario,Canada,CA-ON,0.2888,0.0007,4131,0.0107,0.0824,0.1674,0.0513,0.5492,0.139,2019-01-04,2.0
dpz97khv,43.83631,-79.30378,43.83648,-79.30344,43.83638,-79.30352,Markham,,Ontario,Canada,CA-ON,0.5557,0.0017,5846,0.0334,0.1619,0.3419,0.0381,0.2225,0.2022,2019-01-04,2.0
dpz96s0t,43.83631,-79.34258,43.83648,-79.34223,43.83636,-79.34238,Markham,,Ontario,Canada,CA-ON,0.5294,0.1358,81,0.0,0.2099,0.0123,0.0247,0.6914,0.0617,2019-01-04,2.0
dpz96shj,43.83631,-79.33777,43.83648,-79.33743,43.83634,-79.33775,Markham,,Ontario,Canada,CA-ON,0.753,0.12,25,0.0,0.44,0.4,0.0,0.0,0.16,2019-01-04,2.0
dpz97unm,43.83631,-79.27975,43.83648,-79.2794,43.83636,-79.27971,Markham,,Ontario,Canada,CA-ON,0.4618,0.0758,66,0.0,0.4688,0.0625,0.0156,0.4063,0.0468,2019-01-04,2.0
dpz93s1t,43.83631,-79.38515,43.83648,-79.3848,43.83638,-79.38493,Markham,,Ontario,Canada,CA-ON,0.7342,0.0052,2897,0.0187,0.1513,0.3697,0.0543,0.2579,0.1481,2019-01-04,2.0
dpz96dhu,43.82515,-79.33674,43.82532,-79.3364,43.82519,-79.33657,Markham,,Ontario,Canada,CA-ON,0.6668,0.0432,3539,0.0381,0.2368,0.334,0.0549,0.1924,0.1438,2019-01-04,2.0
dpz964hh,43.82515,-79.35974,43.82532,-79.3594,43.82517,-79.35973,Markham,,Ontario,Canada,CA-ON,0.1143,0.0357,28,0.0,0.5,0.3929,0.0714,0.0357,0.0,2019-01-04,2.0
dpz974nu,43.82515,-79.31202,43.82532,-79.31168,43.82517,-79.31192,Markham,,Ontario,Canada,CA-ON,0.2516,0.0143,70,0.0571,0.3429,0.0714,0.0571,0.3286,0.1429,2019-01-04,2.0
dpz93fjs,43.82515,-79.36867,43.82532,-79.36832,43.82517,-79.36851,Markham,,Ontario,Canada,CA-ON,1.0591,0.0303,66,0.0308,0.4,0.1077,0.0154,0.3538,0.0923,2019-01-04,2.0
dpz9693z,43.82154,-79.34086,43.82172,-79.34052,43.82164,-79.34077,Markham,,Ontario,Canada,CA-ON,0.5754,0.0993,151,0.0,0.4899,0.0537,0.0872,0.2282,0.141,2019-01-04,2.0
dpz9697z,43.82154,-79.33811,43.82172,-79.33777,43.82169,-79.33804,Markham,,Ontario,Canada,CA-ON,0.331,0.2895,38,0.0,0.5526,0.0263,0.1316,0.2368,0.0527,2019-01-04,2.0
dpz9632z,43.82154,-79.35322,43.82172,-79.35287,43.82161,-79.35299,Markham,,Ontario,Canada,CA-ON,0.7431,0.0564,1295,0.021,0.1354,0.1518,0.049,0.4584,0.1844,2019-01-04,2.0
dpz96c6r,43.82154,-79.32919,43.82172,-79.32884,43.82163,-79.32892,Markham,,Ontario,Canada,CA-ON,0.5845,0.0377,53,0.0377,0.7925,0.0943,0.0,0.0377,0.0378,2019-01-04,2.0
dpz96c2x,43.82154,-79.33159,43.82172,-79.33125,43.82164,-79.33132,Markham,,Ontario,Canada,CA-ON,0.6516,0.011,817,0.0221,0.3063,0.1968,0.0775,0.23,0.1673,2019-01-04,2.0
dpz960h5,43.81399,-79.35974,43.81416,-79.3594,43.81412,-79.35948,Markham,,Ontario,Canada,CA-ON,0.2056,0.1429,91,0.0,0.3222,0.2222,0.0556,0.1778,0.2222,2019-01-04,2.0
dpz96jy1,43.84523,-79.35699,43.84541,-79.35665,43.84532,-79.35683,Markham,,Ontario,Canada,CA-ON,0.3411,0.0358,15322,0.0181,0.1596,0.3565,0.0561,0.2641,0.1456,2019-01-04,2.0
dpz96vg1,43.84523,-79.32816,43.84541,-79.32781,43.84528,-79.32792,Markham,,Ontario,Canada,CA-ON,0.8553,0.0028,1073,0.028,0.1351,0.3737,0.0522,0.2423,0.1687,2019-01-04,2.0
dpz97tu1,43.84523,-79.29382,43.84541,-79.29348,43.8454,-79.29379,Markham,,Ontario,Canada,CA-ON,0.2173,0.0909,11,0.0909,0.1818,0.5455,0.0,0.0909,0.0909,2019-01-04,2.0
dpz96tv3,43.84523,-79.33605,43.84541,-79.33571,43.84526,-79.33581,Markham,,Ontario,Canada,CA-ON,0.7903,0.0543,92,0.0,0.0109,0.0326,0.0109,0.8804,0.0652,2019-01-04,2.0
dpz90z2w,43.81039,-79.41948,43.81056,-79.41914,43.81054,-79.41944,Markham,,Ontario,Canada,CA-ON,1.1729,0.1034,29,0.0,0.0,0.0,0.0,0.6207,0.3793,2019-01-04,2.0
dpz975v2,43.83408,-79.31408,43.83425,-79.31374,43.8342,-79.31393,Markham,,Ontario,Canada,CA-ON,0.4981,0.0938,1898,0.044,0.3761,0.2223,0.0424,0.1671,0.1481,2019-01-04,2.0
dpz93ev8,43.83408,-79.37965,43.83425,-79.37931,43.83416,-79.37958,Markham,,Ontario,Canada,CA-ON,0.2802,0.0129,2472,0.0345,0.1864,0.3471,0.0597,0.1713,0.201,2019-01-04,2.0
dpz97ev2,43.83408,-79.29211,43.83425,-79.29176,43.83421,-79.29181,Markham,,Ontario,Canada,CA-ON,0.5148,0.0163,184,0.038,0.2609,0.3424,0.0435,0.1413,0.1739,2019-01-04,2.0
dpz92gy8,43.83408,-79.41124,43.83425,-79.4109,43.83424,-79.41107,Markham,,Ontario,Canada,CA-ON,0.1422,0.0357,56,0.0,0.1607,0.1607,0.0,0.0179,0.6607,2019-01-04,2.0
dpz965vb,43.83408,-79.35734,43.83425,-79.35699,43.83415,-79.35719,Markham,,Ontario,Canada,CA-ON,0.5861,0.1032,126,0.0,0.246,0.4286,0.0317,0.1825,0.1112,2019-01-04,2.0
dpz977f2,43.83408,-79.30721,43.83425,-79.30687,43.83413,-79.30702,Markham,,Ontario,Canada,CA-ON,0.1834,0.32,25,0.04,0.6,0.2,0.04,0.0,0.12,2019-01-04,2.0
dpz93ey8,43.83408,-79.37828,43.83425,-79.37794,43.83417,-79.37798,Markham,,Ontario,Canada,CA-ON,0.2145,0.0357,28,0.0,0.4286,0.1429,0.0,0.25,0.1785,2019-01-04,2.0
dpz96gu0,43.83408,-79.32678,43.83425,-79.32644,43.83415,-79.32647,Markham,,Ontario,Canada,CA-ON,0.4251,0.0361,498,0.002,0.4297,0.1466,0.0502,0.2791,0.0924,2019-01-04,2.0
dpz96hkv,43.83768,-79.35871,43.83785,-79.35837,43.83773,-79.35857,Markham,,Ontario,Canada,CA-ON,0.3059,0.034,2794,0.0011,0.0033,0.1885,0.0884,0.6081,0.1106,2019-01-04,2.0
dpz96kqv,43.83768,-79.34498,43.83785,-79.34464,43.8378,-79.34473,Markham,,Ontario,Canada,CA-ON,0.5402,0.1364,66,0.0152,0.0152,0.2727,0.0606,0.4545,0.1818,2019-01-04,2.0
dpz93h3v,43.83768,-79.40678,43.83785,-79.40643,43.83785,-79.40663,Markham,,Ontario,Canada,CA-ON,0.3384,0.0167,120,0.0333,0.0833,0.275,0.0667,0.3833,0.1584,2019-01-04,2.0
dpz9kkkt,43.83768,-79.26018,43.83785,-79.25983,43.83779,-79.26007,Markham,,Ontario,Canada,CA-ON,0.7001,0.0714,266,0.0192,0.249,0.2529,0.0345,0.2682,0.1762,2019-01-04,2.0
dpz9646k,43.82652,-79.36214,43.82669,-79.3618,43.8266,-79.36197,Markham,,Ontario,Canada,CA-ON,0.3715,0.2795,297,0.0,0.3838,0.037,0.0135,0.3468,0.2189,2019-01-04,2.0
dpz93fkh,43.82652,-79.37073,43.82669,-79.37038,43.82666,-79.37057,Markham,,Ontario,Canada,CA-ON,0.3563,0.2629,175,0.0349,0.3547,0.1744,0.0233,0.1977,0.215,2019-01-04,2.0
dpz96d2s,43.82652,-79.34258,43.82669,-79.34223,43.82663,-79.34241,Markham,,Ontario,Canada,CA-ON,0.4508,0.1573,89,0.0112,0.5506,0.1348,0.0899,0.0449,0.1686,2019-01-04,2.0
dpz96c8p,43.82292,-79.33228,43.82309,-79.33193,43.823,-79.332,Markham,,Ontario,Canada,CA-ON,0.5901,0.0315,508,0.0159,0.3472,0.1587,0.0476,0.2698,0.1608,2019-01-04,2.0
dpz94pen,43.81176,-79.36111,43.81193,-79.36077,43.81183,-79.36097,Markham,,Ontario,Canada,CA-ON,0.5254,0.0569,3481,0.0445,0.1902,0.3274,0.0696,0.1163,0.252,2019-01-04,2.0
dpz97wn1,43.84661,-79.29108,43.84678,-79.29073,43.84669,-79.29085,Markham,,Ontario,Canada,CA-ON,0.8274,0.0078,5233,0.0256,0.1505,0.3014,0.0518,0.2848,0.1859,2019-01-04,2.0
dpz9kwj9,43.84661,-79.24782,43.84678,-79.24747,43.84671,-79.24762,Markham,,Ontario,Canada,CA-ON,0.4493,0.28,125,0.0161,0.3387,0.0968,0.0323,0.1694,0.3467,2019-01-04,2.0
dpz96n19,43.84661,-79.36317,43.84678,-79.36283,43.84663,-79.36296,Markham,,Ontario,Canada,CA-ON,0.3442,0.0254,2366,0.0795,0.2027,0.1411,0.0854,0.2686,0.2227,2019-01-04,2.0
dpz91xpc,43.80816,-79.37656,43.80833,-79.37622,43.80824,-79.37625,Markham,,Ontario,Canada,CA-ON,0.3376,0.1538,117,0.0086,0.2069,0.3362,0.0517,0.2328,0.1638,2019-01-04,2.0
dpz93sj0,43.83545,-79.38034,43.83562,-79.38,43.83555,-79.3801,Markham,,Ontario,Canada,CA-ON,0.4391,0.014,2580,0.0393,0.2093,0.3427,0.0572,0.1416,0.2099,2019-01-04,2.0
dpz96uj2,43.83545,-79.32507,43.83562,-79.32472,43.83547,-79.32483,Markham,,Ontario,Canada,CA-ON,0.0751,0.0213,47,0.0,0.0426,0.0213,0.1489,0.4255,0.3617,2019-01-04,2.0
dpz96kh8,43.83545,-79.34807,43.83562,-79.34772,43.83558,-79.34791,Markham,,Ontario,Canada,CA-ON,0.6768,0.044,4132,0.0,0.0005,0.02,0.0691,0.7518,0.1586,2019-01-04,2.0
dpz97up0,43.83545,-79.27872,43.83562,-79.27837,43.83556,-79.27841,Markham,,Ontario,Canada,CA-ON,0.3574,0.0548,73,0.0274,0.4521,0.0959,0.0137,0.3014,0.1095,2019-01-04,2.0
dpz97u12,43.83545,-79.28661,43.83562,-79.28627,43.83554,-79.28648,Markham,,Ontario,Canada,CA-ON,0.4951,0.1605,81,0.037,0.3704,0.0864,0.037,0.3704,0.0988,2019-01-04,2.0
dpz975mg,43.83184,-79.31339,43.83202,-79.31305,43.83192,-79.31319,Markham,,Ontario,Canada,CA-ON,0.6233,0.3478,46,0.0,0.3478,0.1522,0.0,0.4348,0.0652,2019-01-04,2.0
dpz93ek7,43.83184,-79.38137,43.83202,-79.38103,43.83191,-79.38132,Markham,,Ontario,Canada,CA-ON,0.284,0.0552,145,0.0483,0.269,0.2483,0.0552,0.2552,0.124,2019-01-04,2.0
dpz93g2e,43.83184,-79.37553,43.83202,-79.37519,43.8319,-79.37537,Markham,,Ontario,Canada,CA-ON,0.198,0.063,254,0.1151,0.2341,0.2421,0.0198,0.254,0.1349,2019-01-04,2.0
dpz967m5,43.83184,-79.34738,43.83202,-79.34704,43.83192,-79.34714,Markham,,Ontario,Canada,CA-ON,0.3865,0.155,129,0.0,0.4806,0.1008,0.0853,0.186,0.1473,2019-01-04,2.0
dpz961ux,43.82429,-79.35905,43.82446,-79.35871,43.82437,-79.35888,Markham,,Ontario,Canada,CA-ON,0.4327,0.1805,1740,0.0484,0.2729,0.2286,0.072,0.2061,0.172,2019-01-04,2.0
dpz961yx,43.82429,-79.35631,43.82446,-79.35596,43.82436,-79.35625,Markham,,Ontario,Canada,CA-ON,0.662,0.0762,341,0.0059,0.5455,0.1554,0.0352,0.1525,0.1055,2019-01-04,2.0
dpz963ux,43.82429,-79.34807,43.82446,-79.34772,43.82439,-79.34785,Markham,,Ontario,Canada,CA-ON,0.555,0.0304,560,0.0018,0.3607,0.1768,0.0804,0.2393,0.141,2019-01-04,2.0
dpz96czx,43.82429,-79.32198,43.82446,-79.32163,43.82446,-79.32194,Markham,,Ontario,Canada,CA-ON,0.0947,0.0333,30,0.0,0.1667,0.1,0.2,0.2,0.3333,2019-01-04,2.0
dpz93cfp,43.82429,-79.37347,43.82446,-79.37313,43.82437,-79.37323,Markham,,Ontario,Canada,CA-ON,0.4674,0.2,60,0.0,0.25,0.1,0.0,0.45,0.2,2019-01-04,2.0
dpz96cux,43.82429,-79.3261,43.82446,-79.32575,43.82438,-79.32579,Markham,,Ontario,Canada,CA-ON,0.3554,0.0193,2224,0.0288,0.1789,0.283,0.0559,0.2294,0.224,2019-01-04,2.0
dpz961gp,43.82429,-79.36111,43.82446,-79.36077,43.82435,-79.36094,Markham,,Ontario,Canada,CA-ON,0.3947,0.0072,4707,0.0335,0.1427,0.3074,0.0949,0.221,0.2005,2019-01-04,2.0
dpz961fr,43.82429,-79.36214,43.82446,-79.3618,43.82439,-79.36211,Markham,,Ontario,Canada,CA-ON,0.3112,0.002,22635,0.0322,0.1369,0.2856,0.0688,0.2606,0.2159,2019-01-04,2.0
dpz969fr,43.82429,-79.34017,43.82446,-79.33983,43.82438,-79.33997,Markham,,Ontario,Canada,CA-ON,0.3746,0.0185,3990,0.0334,0.2081,0.3684,0.0535,0.1963,0.1403,2019-01-04,2.0
dpz963zx,43.82429,-79.34395,43.82446,-79.34361,43.82436,-79.3438,Markham,,Ontario,Canada,CA-ON,0.6037,0.1031,97,0.0,0.3093,0.1031,0.134,0.3093,0.1443,2019-01-04,2.0
dpz931qf,43.82069,-79.39991,43.82086,-79.39957,43.82081,-79.39985,Markham,,Ontario,Canada,CA-ON,1.1342,0.0357,56,0.0357,0.4107,0.1607,0.0536,0.1429,0.1964,2019-01-04,2.0
dpz963r6,43.82069,-79.34429,43.82086,-79.34395,43.82076,-79.3441,Markham,,Ontario,Canada,CA-ON,0.5552,0.0446,673,0.0316,0.4172,0.2425,0.0783,0.1325,0.0979,2019-01-04,2.0
dpz9693d,43.82069,-79.3412,43.82086,-79.34086,43.82077,-79.34104,Markham,,Ontario,Canada,CA-ON,0.3782,0.2083,72,0.0,0.6389,0.0556,0.0972,0.125,0.0833,2019-01-04,2.0
dpz96364,43.82069,-79.3515,43.82086,-79.35116,43.82079,-79.35131,Markham,,Ontario,Canada,CA-ON,0.5227,0.3214,56,0.0,0.5,0.1786,0.0179,0.1786,0.1249,2019-01-04,2.0
dpz91xvq,43.81313,-79.38,43.8133,-79.37965,43.81323,-79.37974,Markham,,Ontario,Canada,CA-ON,0.2538,0.1228,57,0.0351,0.1404,0.1404,0.0351,0.5614,0.0876,2019-01-04,2.0
dpz96jeh,43.84438,-79.36111,43.84455,-79.36077,43.84446,-79.36096,Markham,,Ontario,Canada,CA-ON,0.4113,0.0529,189,0.0,0.4894,0.0904,0.0213,0.2394,0.1595,2019-01-04,2.0
dpz9kj9s,43.84438,-79.27528,43.84455,-79.27494,43.84442,-79.2751,Markham,,Ontario,Canada,CA-ON,0.4839,0.125,56,0.0,0.2857,0.1607,0.0536,0.4821,0.0179,2019-01-04,2.0
dpz93txh,43.84438,-79.37759,43.84455,-79.37725,43.84445,-79.37749,Markham,,Ontario,Canada,CA-ON,0.4007,0.0437,1510,0.1116,0.1879,0.2437,0.0704,0.164,0.2224,2019-01-04,2.0
dpz97s32,43.83682,-79.2976,43.83699,-79.29726,43.83689,-79.29732,Markham,,Ontario,Canada,CA-ON,0.2516,0.0417,48,0.0417,0.2708,0.125,0.0208,0.4375,0.1042,2019-01-04,2.0
dpz9kkr8,43.83682,-79.25606,43.83699,-79.25571,43.83694,-79.25596,Markham,,Ontario,Canada,CA-ON,0.5325,0.2941,102,0.0,0.3366,0.198,0.0693,0.297,0.0991,2019-01-04,2.0
dpz96kk0,43.83682,-79.34875,43.83699,-79.34841,43.83689,-79.34861,Markham,,Ontario,Canada,CA-ON,0.682,0.2174,23,0.0,0.0,0.5652,0.0435,0.1304,0.2609,2019-01-04,2.0
dpz93h60,43.83682,-79.40643,43.83699,-79.40609,43.83695,-79.40635,Markham,,Ontario,Canada,CA-ON,0.3277,0.0337,1097,0.0192,0.239,0.4029,0.022,0.2198,0.0971,2019-01-04,2.0
dpz93s62,43.83682,-79.38412,43.83699,-79.38377,43.83697,-79.38399,Markham,,Ontario,Canada,CA-ON,0.894,0.0002,8421,0.0653,0.1605,0.5217,0.0293,0.1067,0.1165,2019-01-04,2.0
dpz91nws,43.80592,-79.40025,43.8061,-79.39991,43.80595,-79.40007,Markham,,Ontario,Canada,CA-ON,0.3908,0.0909,110,0.0,0.2661,0.3028,0.0917,0.2294,0.11,2019-01-04,2.0
dpz96g8g,43.83322,-79.33125,43.83339,-79.3309,43.83333,-79.33113,Markham,,Ontario,Canada,CA-ON,0.2461,0.0526,38,0.0,0.0263,0.0,0.0,0.8684,0.1053,2019-01-04,2.0
dpz96g85,43.83322,-79.33228,43.83339,-79.33193,43.8333,-79.33211,Markham,,Ontario,Canada,CA-ON,0.2199,0.8025,81,0.0,0.8519,0.0,0.0123,0.0741,0.0617,2019-01-04,2.0
